                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                     640                                     1023                  1.0000000000000000E+003                  2.0000000000000000E-016                  4.1523276691032937E+004                  2.1522908768833656E+002                  1.0569361225431081E+005                  2.9307620961452987E+007                  1.6167826414525148E+001                 -5.1336824019848599E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999746939620249E-001                  9.3699615073587268E-007                  1.5644004314341840E-006                  8.1278269963945426E-009                  2.1079388443236904E-008                  9.9999574332964767E+002                 -8.8134506860767106E-008                  7.4901734087681518E+002                  1.9480315762608204E-004                  2.5097820610971760E+002                  8.0650790436513815E-008                  1.4500712477726176E-006                  8.0719739986064946E-009                  1.1640670834849584E-009                  4.6760141796860725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999574313449057E+002                  1.6106849847350045E+001                  9.9999574117076884E+002                  1.6033325637451401E+001                  2.0583155377161369E+004                  4.9538589607847200E+004                  3.4120672730307851E+005                  2.9545525370577358E+007                  2.9545525248223897E+007                  1.2203554099969215E-001                  2.0784152413032306E+006                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.3103977936427488E+012                                  "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20210425" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       dm                                     grav                                    log_g                                   radius                                radius_cm                               mass_grams                                     mmid                              temperature                                   energy                                      rho                                 pressure                                     prad                                     pgas                       net_nuclear_energy                               net_energy                     eps_nuc_plus_nuc_neu                                  eps_nuc                          log_abs_eps_nuc                        eps_nuc_neu_total                                  opacity                              log_opacity                               luminosity                                 log_Lrad                                 log_Ledd                           log_L_div_Ledd                        log_Lrad_div_Ledd                           log_Lrad_div_L                             total_energy                             conv_L_div_L                         log_conv_L_div_L                     lum_conv_div_lum_rad                        lum_rad_div_L_Edd                           lum_conv_div_L                            lum_rad_div_L                                    gradT                               extra_heat                                  extra_L                              log_extra_L                               extra_heat                      cell_DM_energy_rate                 cell_DM_annihlation_rate                      d_extra_heat_dlnR00                      d_extra_heat_dlnRp1                      d_extra_heat_dlndm1                      d_extra_heat_dlnd00                      d_extra_heat_dlndp1                      d_extra_heat_dlnTm1                      d_extra_heat_dlnT00                      d_extra_heat_dlnTp1 
                                       1                  9.9999574332964767E+002                  1.2086516377401419E+000                  5.0250394629132975E+000                 -8.8463760411858008E+000                  5.5299191870555182E+000                  7.5999999999999979E-001                  2.4000000000000013E-001                  1.1102230246251565E-016                  9.9459576631594275E+023                  1.0485381326799354E+005                  5.0205842292804608E+000                  1.6167826414525148E+001                  1.1252483827981213E+012                  1.9891915326313351E+036                  9.9999574332939767E+002                  1.0593499804577170E+005                  7.0734067240121900E+014                  1.4243737415289195E-009                  3.3878111033138906E+005                  3.1760664573062328E+005                  2.1174464600765772E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5606545368672813E-028                  2.4621521577894926E-028                 -2.7608685111743270E+001                  9.8502379077788925E-030                  3.9239539701662124E-001                 -4.0627609574164703E-001                  2.9307620961452987E+007                  7.4669805661270372E+000                  7.5206410548171414E+000                 -5.3660488690104084E-002                 -5.3658271372067745E-002                  0.0000000000000000E+000                 -1.1728154407126438E+017                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8377503345192321E-001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3555766789362040E-001                  0.0000000000000000E+000                  6.8795847450065173E+011                  1.1837562224806014E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.9999574332914767E+002                  1.2086346991480357E+000                  5.0270020875053376E+000                 -8.8329823607374980E+000                  5.5382423581710647E+000                  7.5999999999999979E-001                  2.4000000000000013E-001                  1.1102230246251565E-016                  9.9459576631594275E+023                  1.0486199271907876E+005                  5.0206181064644566E+000                  1.6167195840369271E+001                  1.1252044960980205E+012                  1.9891915326303404E+036                  9.9999574332889767E+002                  1.0641481332088744E+005                  6.9895721449255588E+014                  1.4689859406225372E-009                  3.4533640065958450E+005                  3.2340004765968374E+005                  2.1936352999900770E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6408587458238910E-028                  2.5392710987880300E-028                 -2.7595290930310782E+001                  1.0158764703586114E-029                  3.9277836737617433E-001                 -4.0585243938780924E-001                  2.9307620961453341E+007                  7.4669805661270425E+000                  7.5206410548171414E+000                 -5.3660488690098901E-002                 -5.3658271372067745E-002                  0.0000000000000000E+000                 -1.1729445986134070E+017                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8377503345192321E-001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3580932017774595E-001                  0.0000000000000000E+000                  6.8795847450065173E+011                  1.1837562224806014E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.9999574332864779E+002                  1.2086182730777588E+000                  5.0298410726711129E+000                 -8.8147986008582144E+000                  5.5502185824663686E+000                  7.5999999999999990E-001                  2.4000000000000013E-001                  0.0000000000000000E+000                  1.9349400190137869E+024                  1.0486992528866835E+005                  5.0206509586047927E+000                  1.6166584369388048E+001                  1.1251619389406694E+012                  1.9891915326293461E+036                  9.9999574332816121E+002                  1.0711272612375676E+005                  6.8880361215298750E+014                  1.5317976507906762E-009                  3.5499201343759795E+005                  3.3196784579178382E+005                  2.3024167645814116E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7537824308088935E-028                  2.6478508742510246E-028                 -2.7577106477809984E+001                  1.0593155655786872E-029                  3.9322019472864916E-001                 -4.0536418607388353E-001                  2.9307620961453345E+007                  7.4669805661270425E+000                  7.5202482042373919E+000                 -5.3267638110349846E-002                 -5.1910615362121652E-002                  0.0000000000000000E+000                 -1.1731100884030099E+017                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8733862149569620E-001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3626467892064984E-001                  0.0000000000000000E+000                  6.8795847450065173E+011                  1.1837562224806014E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.9999574332767486E+002                  1.2085876223047358E+000                  5.0346027421467108E+000                 -8.7859147922422096E+000                  5.5702272044608234E+000                  7.5999999999999990E-001                  2.4000000000000013E-001                  0.0000000000000000E+000                  3.1418655844031069E+024                  1.0488472893575592E+005                  5.0207122601504164E+000                  1.6165443436580315E+001                  1.1250825322991167E+012                  1.9891915326274108E+036                  9.9999574332688519E+002                  1.0829358777118960E+005                  6.7449491053031800E+014                  1.6371376932460938E-009                  3.7172965142996068E+005                  3.4685079809557972E+005                  2.4878853334380936E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9431646853478774E-028                  2.8299480372797506E-028                 -2.7548221538797211E+001                  1.1321664806812667E-029                  3.9379816479840418E-001                 -4.0472631211812249E-001                  2.9307620961453348E+007                  7.4669805661270425E+000                  7.5196770070829171E+000                 -5.2696440955874349E-002                 -5.1005080594297883E-002                  0.0000000000000000E+000                 -1.1733580999664306E+017                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8919071559889973E-001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3702623701353126E-001                  0.0000000000000000E+000                  6.8795847450065173E+011                  1.1837562224806014E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.9999574332609563E+002                  1.2085410429399408E+000                  5.0396155230281403E+000                 -8.7554076058223824E+000                  5.5913310097245192E+000                  7.5999999999999990E-001                  2.4000000000000013E-001                  0.0000000000000000E+000                  2.4700139668110933E+024                  1.0490722974217204E+005                  5.0208054188793207E+000                  1.6163709738041028E+001                  1.1249618703481794E+012                  1.9891915326242692E+036                  9.9999574332547479E+002                  1.0955079234760129E+005                  6.5963990229573488E+014                  1.7562744938750915E-009                  3.9023930519284529E+005                  3.6324012935598107E+005                  2.6999175836864189E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1573518790675120E-028                  3.0358959516098159E-028                 -2.7517713116971567E+001                  1.2145592745769590E-029                  3.9439918251514999E-001                 -4.0406399390711273E-001                  2.9307620961453360E+007                  7.4669805661270425E+000                  7.5189211684610369E+000                 -5.1940602333993821E-002                 -5.2837061756347725E-002                  0.0000000000000000E+000                 -1.1736163291816280E+017                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8544774907346024E-001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3810022516481380E-001                  0.0000000000000000E+000                  6.8795847450065173E+011                  1.1837562224806014E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9999574332485383E+002                  1.2085068985569047E+000                  5.0427215856944221E+000                 -8.7369923639860794E+000                  5.6043908132635076E+000                  7.5999999999999990E-001                  2.4000000000000013E-001                  0.0000000000000000E+000                  1.1407830585427918E+024                  1.0492372672469798E+005                  5.0208737076448537E+000                  1.6162438991520265E+001                  1.1248734289318274E+012                  1.9891915326217991E+036                  9.9999574332456700E+002                  1.1033710521432103E+005                  6.5130405450459675E+014                  1.8323466394543785E-009                  4.0215253741409275E+005                  3.7378173220133054E+005                  2.8370805212762218E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2941168038169365E-028                  3.1673998502160105E-028                 -2.7499297108152859E+001                  1.2671695360092619E-029                  3.9472553381348002E-001                 -4.0370477926543630E-001                  2.9307620961451598E+007                  7.4669805661270168E+000                  7.5183802711267695E+000                 -5.1399704999753319E-002                 -5.3122957290611388E-002                  0.0000000000000000E+000                 -1.1737666244736469E+017                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8486505170243235E-001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3885268798744608E-001                  0.0000000000000000E+000                  6.8795847450065173E+011                  1.1837562224806014E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.9999574332428040E+002                  1.2084917810012676E+000                  5.0452732681512291E+000                 -8.7231514916626729E+000                  5.6150368490050306E+000                  7.5999999999999979E-001                  2.4000000000000013E-001                  1.1102230246251565E-016                  1.8836314430737001E+024                  1.0493103165508580E+005                  5.0209039427558784E+000                  1.6161876395566814E+001                  1.1248342733786592E+012                  1.9891915326206584E+036                  9.9999574332380689E+002                  1.1098729533766136E+005                  6.4634025864274600E+014                  1.8916836418327426E-009                  4.1213248621855729E+005                  3.8267033992031153E+005                  2.9462146298245756E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4007950045881646E-028                  3.2699743906064899E-028                 -2.7485455648581866E+001                  1.3082061398167472E-029                  3.9487563516821428E-001                 -4.0353966251172985E-001                  2.9307620961450811E+007                  7.4669805661270052E+000                  7.5182104466313655E+000                 -5.1229880504360358E-002                 -5.0294573530533140E-002                  0.0000000000000000E+000                 -1.1738696660315350E+017                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.9064662486483570E-001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3914612868214966E-001                  0.0000000000000000E+000                  6.8795847450065173E+011                  1.1837562224806014E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.9999574332333339E+002                  1.2084675989843459E+000                  5.0482646794956834E+000                 -8.7068697701788942E+000                  5.6275289939426232E+000                  7.5999999999999979E-001                  2.4000000000000013E-001                  1.1102230246251565E-016                  1.7602720526268760E+024                  1.0494271766704450E+005                  5.0209523067893107E+000                  1.6160976508729362E+001                  1.1247716430545461E+012                  1.9891915326187748E+036                  9.9999574332289103E+002                  1.1175441242626718E+005                  6.4049969041189188E+014                  1.9639491086266655E-009                  4.2415930027282203E+005                  3.9336022847596370E+005                  3.0799071796858363E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5307167539652242E-028                  3.3948983547597474E-028                 -2.7469173224219354E+001                  1.3581839920547690E-029                  3.9506080391650777E-001                 -4.0333605684651735E-001                  2.9307620961449575E+007                  7.4669805661269866E+000                  7.5180074311712515E+000                 -5.1026865044264590E-002                 -5.1177418802829742E-002                  0.0000000000000000E+000                 -1.1739905182234136E+017                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8883793392549060E-001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3956761076987659E-001                  0.0000000000000000E+000                  6.8795847450065173E+011                  1.1837562224806014E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.9999574332244856E+002                  1.2084458287256281E+000                  5.0515127486601203E+000                 -8.6899485080773751E+000                  5.6410464110685696E+000                  7.5999999999999990E-001                  2.4000000000000013E-001                  0.0000000000000000E+000                  2.3017644926386375E+024                  1.0495323930485795E+005                  5.0209958473063621E+000                  1.6160166413652576E+001                  1.1247152620573918E+012                  1.9891915326170145E+036                  9.9999574332187001E+002                  1.1259335200472856E+005                  6.3526577550290975E+014                  2.0419800367278470E-009                  4.3756886364657222E+005                  4.0530571187525196E+005                  3.2263151771320248E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6710042310616108E-028                  3.5297893013792997E-028                 -2.7452251217552490E+001                  1.4121492968231104E-029                  3.9519875121530362E-001                 -4.0318443640515739E-001                  2.9307620961448506E+007                  7.4669805661269706E+000                  7.5178400579997904E+000                 -5.0859491872819504E-002                 -5.0210908011907744E-002                  0.0000000000000000E+000                 -1.1741096591820658E+017                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.9081822177206860E-001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3992709534631121E-001                  0.0000000000000000E+000                  6.8795847450065173E+011                  1.1837562224806014E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
